AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
BUBU,F,4,Unknown,Queens
HARLEY,M,9,"Poodle, Standard",Manhattan
ELI,M,4,Yorkshire Terrier,Manhattan
LOLA,F,4,Australian Cattledog,Queens
NAME NOT PROVIDED,F,4,Shih Tzu,Queens
KEATS,M,4,Australian Shepherd,Manhattan
JERRY,M,6,Yorkshire Terrier,Manhattan
TOTO,M,3,Yorkshire Terrier,Queens
GARY,F,4,Golden Retriever,Manhattan
SCOTCH,M,4,"Poodle, Toy",Brooklyn
LUCY,F,8,"Bull Dog, French",Bronx
POSEIDON,M,4,Siberian Husky,Bronx
NALA,F,7,American Staffordshire Terrier,Staten Island
ARCHIE,M,4,Wire Fox Terrier,Manhattan
JOHNNY,M,9,Golden Retriever,Staten Island
DOZER,M,3,Unknown,Staten Island
NAME NOT PROVIDED,M,3,Havanese,Queens
NAME NOT PROVIDED,M,3,Havanese,Manhattan
GRACE,F,3,Unknown,Queens
MELO,M,4,American Pit Bull Terrier/Pit Bull,Brooklyn
TACCOS,M,5,Labrador Retriever,Queens
MISS,F,7,Unknown,Manhattan
NAME NOT PROVIDED,F,3,Chihuahua,Queens
PEACHES,F,8,Norfolk Terrier,Manhattan
COOPER,M,3,Unknown,Manhattan
SAMSON,M,9,Maltese,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Brooklyn
FLUFFY,M,3,Unknown,Brooklyn
NAME NOT PROVIDED,F,3,Unknown,Manhattan
NAME NOT PROVIDED,F,3,Unknown,Manhattan
BUNNY,M,7,Unknown,Manhattan
CHARLIE,F,9,Labrador Retriever,Manhattan
UNKNOWN,F,3,Yorkshire Terrier,Manhattan
UNKNOWN,M,3,"Bull Dog, French",Brooklyn
KODIAK,M,6,Unknown,Queens
UNKNOWN,M,3,Maltese,Manhattan
UNKNOWN,F,3,"Bull Dog, English",Manhattan
UNKNOWN,F,3,Cavalier King Charles Spaniel,Manhattan
SIMBA,M,5,Siberian Husky,Bronx
SCHAK,M,3,"Bull Dog, English",Manhattan
ROSIE,F,13,Unknown,Staten Island
NAME NOT PROVIDED,F,3,Shiba Inu,Queens
NAME NOT PROVIDED,F,3,Pomeranian,Manhattan
NAME NOT PROVIDED,F,3,Unknown,Manhattan
RAPTURE,M,5,Pointer,Brooklyn
TIPPY,M,4,Maltese,Queens
SPUNKY,M,13,Yorkshire Terrier,Brooklyn
MISHA,F,5,Unknown,Queens
NAME NOT PROVIDED,F,3,Cotton De Tulear,Brooklyn
TONTO,M,4,American Pit Bull Mix / Pit Bull Mix,Queens
BENTLEY,M,7,Yorkshire Terrier,Brooklyn
UNKNOWN,M,3,Shiba Inu,Manhattan
DOLCE,F,4,American Pit Bull Terrier/Pit Bull,Brooklyn
NAME NOT PROVIDED,M,3,Unknown,Bronx
NAME NOT PROVIDED,M,3,Unknown,Brooklyn
SPARTACUS,M,2,Shih Tzu,Bronx
NAME NOT PROVIDED,F,3,Shiba Inu,Brooklyn
NAME NOT PROVIDED,F,3,Chihuahua,Manhattan
BELLA,F,3,Dalmatian,Manhattan
UNKNOWN,F,3,Dachshund Smooth Coat,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Cavalier King Charles Spaniel,Manhattan
FRANKLIN,M,3,Pug,Manhattan
MIA,F,7,Labrador Retriever,Manhattan
STORMY,M,7,Norfolk Terrier,Manhattan
MOCHA,F,4,Shih Tzu,Manhattan
NAME NOT PROVIDED,F,3,Pomeranian,Manhattan
NAME NOT PROVIDED,F,3,Unknown,Manhattan
PORTIA,F,5,Greyhound,Manhattan
LADY,F,4,Rottweiler,Staten Island
UNKNOWN,M,3,Yorkshire Terrier,Manhattan
UNKNOWN,F,3,"Bull Dog, French",Manhattan
CHUBBS,M,4,"Dachshund, Wirehaired",Brooklyn
SHELBY,F,4,Beagle,Queens
ROXI,F,4,Bull Terrier,Brooklyn
NAME NOT PROVIDED,F,3,Shiba Inu,Manhattan
MUNECA,F,9,Unknown,Bronx
NUTMEG,F,3,Beagle Crossbreed,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Manhattan
MARLEY,M,11,Fila Brasileiro,Queens
MAX,M,3,Yorkshire Terrier,Bronx
MAX,M,7,Maltese,Manhattan
SWAGGER,M,6,Shih Tzu,Manhattan
NAME NOT PROVIDED,F,3,"Bull Dog, French",Manhattan
CAESAR,M,3,Siberian Husky,Manhattan
TEDDY,M,6,Labrador Retriever,Manhattan
CUPID,M,4,Unknown,Bronx
LUCY,F,3,Boston Terrier,Manhattan
UNKNOWN,M,3,"Bull Dog, French",Manhattan
UNKNOWN,M,3,Havanese,Manhattan
OZZIE,M,15,Dachshund Smooth Coat,Manhattan
RILEY,F,7,Labrador Retriever,Manhattan
MAX,M,3,Unknown,Queens
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Brooklyn
NAME NOT PROVIDED,M,3,Unknown,Brooklyn
NAME NOT PROVIDED,M,3,Unknown,Manhattan
SCRAPPY,M,3,Unknown,Queens
COCO,F,10,Chihuahua,Brooklyn
CODY,M,7,Unknown,Manhattan
UNKNOWN,M,3,Pomeranian,Brooklyn
THAXTER,M,4,Maltese,Manhattan
CARR,M,5,Unknown,Brooklyn
MIREYA,F,9,American Staffordshire Terrier,Manhattan
NAME NOT PROVIDED,M,3,Chihuahua,Manhattan
NAME NOT PROVIDED,M,3,Shih Tzu,Manhattan
SKYLAR,F,3,Unknown,Brooklyn
UNKNOWN,F,3,Unknown,Manhattan
NAME NOT PROVIDED,F,3,Unknown,Manhattan
CHELSEA,F,11,Labrador Retriever Crossbreed,Brooklyn
SNOOPY,M,3,Jack Russell Terrier,Queens
UNKNOWN,F,3,Greyhound,Queens
UNKNOWN,M,3,"Bull Dog, French",Manhattan
TOBY,M,3,American Pit Bull Mix / Pit Bull Mix,Bronx
MYLO,M,3,Unknown,Manhattan
REX,M,3,American Pit Bull Terrier/Pit Bull,Brooklyn
NAME NOT PROVIDED,F,3,Unknown,Queens
NAME NOT PROVIDED,F,3,Pomeranian,Manhattan
DUTCH,M,4,"Mastiff, Tibetan",Queens
MAX,M,3,"Schnauzer, Miniature",Manhattan
BROOKLYN,F,3,Cane Corso,Brooklyn
BOOMER,M,5,Golden Retriever,Brooklyn
NAME NOT PROVIDED,M,3,Shiba Inu,Queens
NAME NOT PROVIDED,M,3,Shiba Inu,Manhattan
DEVA,F,11,Unknown,Manhattan
SASHA,M,6,Cocker Spaniel,Manhattan
CLEVER,M,9,Labrador Retriever Crossbreed,Brooklyn
JACK,M,12,Chihuahua,Manhattan
NAHLA,F,4,Chihuahua,Brooklyn
ZOOEY,F,4,Cavalier King Charles Spaniel,Queens
MIA,F,4,Miniature Pinscher,Bronx
MARSHALL,M,3,Labrador Retriever,Queens
NAME NOT PROVIDED,M,3,"Bull Dog, French",Bronx
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Yorkshire Terrier,Brooklyn
NAME NOT PROVIDED,F,3,Unknown,Manhattan
NAME NOT PROVIDED,F,3,Shiba Inu,Manhattan
MIMI,F,3,Staffordshire Bull Terrier,Bronx
GIZMO,M,3,Unknown,Queens
BOY,M,14,Boxer,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Manhattan
NAME NOT PROVIDED,M,3,Unknown,Brooklyn
COOKIE,F,5,Chihuahua,Manhattan
UNKNOWN,M,3,Unknown,Brooklyn
NAME NOT PROVIDED,F,3,Pomeranian,Manhattan
NAME NOT PROVIDED,M,3,Havanese,Manhattan
SEAMUS,M,8,Puggle,Queens
UNKNOWN,F,3,Yorkshire Terrier,Manhattan
COURTNY,F,3,Shih Tzu,Brooklyn
UNKNOWN,M,3,Chihuahua,Bronx
NAME NOT PROVIDED,F,3,Chihuahua,Manhattan
NAME NOT PROVIDED,M,3,"Bull Dog, French",Brooklyn
GEORGIA,F,7,"Bull Dog, English",Brooklyn
SWEETIE,F,5,"Poodle, Miniature",Manhattan
WALFE,M,7,Labrador Retriever Crossbreed,Queens
PIFF,F,5,Unknown,Manhattan
BINGO,M,4,Siberian Husky,Queens
STORM,M,5,American Staffordshire Terrier,Manhattan
ROSIE,F,8,"Schnauzer, Miniature",Brooklyn
PRETTY,M,4,American Pit Bull Terrier/Pit Bull,Staten Island
CRICKET,F,8,"Bull Dog, French",Brooklyn
PEBBLES,F,3,Yorkshire Terrier,Bronx
OTTO,M,5,English Cocker Spaniel,Brooklyn
LULU,F,3,Shiba Inu,Queens
LULABELLE,F,3,"Bull Dog, French",Manhattan
DESI,M,6,Chihuahua Crossbreed,Manhattan
KING,M,4,Puggle,Manhattan
BROCK,M,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
APOLLO,M,7,Rottweiler,Brooklyn
ZOE,F,5,American Pit Bull Mix / Pit Bull Mix,Manhattan
ROCKY,M,4,Yorkshire Terrier,Queens
UNKNOWN,F,3,Beagle,Manhattan
SOPHIA,F,4,Yorkshire Terrier,Brooklyn
KASPER,M,3,"Pointer, German Shorthaired",Bronx
FRANNIE,F,3,"Bull Dog, French",Brooklyn
FRANKIE,M,4,Yorkshire Terrier,Queens
GEORGE,F,4,Unknown,Manhattan
ABIGAIL,F,5,Maltese,Queens
PATRON,F,4,Unknown,Queens
TRUMAN,M,4,Labrador Retriever,Manhattan
SIMON,M,3,Maltese,Queens
LUCAS,M,3,Golden Retriever,Queens
EMILIO,M,5,Pomeranian,Brooklyn
HANNAH,F,11,Beagle,Brooklyn
JAYDA,F,11,Rottweiler,Brooklyn
CAPPO,M,5,American Pit Bull Terrier/Pit Bull,Queens
BIGGIE,M,7,American Pit Bull Mix / Pit Bull Mix,Staten Island
UNKNOWN,F,3,Beagle,Manhattan
CHANEL,F,5,Shih Tzu,Brooklyn
JASPER,M,5,Unknown,Bronx
MAX,M,3,Shih Tzu,Manhattan
BONNIE,F,9,Unknown,Queens
SOFI,F,7,Boxer,Manhattan
COLE,M,8,Great Pyrenees,Brooklyn
TICO,M,3,Yorkshire Terrier,Manhattan
WEETON,M,13,"Poodle, Miniature",Brooklyn
GILLIAN,F,13,Unknown,Manhattan
NELLY,F,8,American Pit Bull Terrier/Pit Bull,Bronx
PATTY,F,7,Labrador Retriever Crossbreed,Staten Island
PRADA,F,13,"Poodle, Miniature",Brooklyn
WHISKEY,F,4,Unknown,Manhattan
MICKEY,M,5,Cocker Spaniel,Manhattan
BUBI,M,12,Boston Terrier,Brooklyn
DEOGIE,M,3,Yorkshire Terrier,Brooklyn
COCOA,M,3,Pug,Bronx
OREO,M,7,Unknown,Brooklyn
ZOE,F,3,Belgian Malinois,Manhattan
ROCKY,M,3,American Pit Bull Mix / Pit Bull Mix,Queens
DEZIREE,F,7,German Shepherd Crossbreed,Manhattan
SWIPER,M,10,American Pit Bull Mix / Pit Bull Mix,Brooklyn
SYDNEY,M,6,"Schnauzer, Miniature",Manhattan
NOLA,F,4,Labrador Retriever,Brooklyn
MURDER,M,4,Unknown,Manhattan
ARCHIE,M,3,Shih Tzu,Brooklyn
ERNIE,M,10,Unknown,Staten Island
FREDDIE,M,8,German Shepherd Crossbreed,Brooklyn
DEXTER,M,3,Labradoodle,Manhattan
SETH,M,5,Rottweiler,Bronx
OREO,M,5,Shih Tzu,Brooklyn
CASTIEL,M,6,American Pit Bull Mix / Pit Bull Mix,Manhattan
WINTER,F,11,Pomeranian,Manhattan
FIBI,F,6,Australian Shepherd,Manhattan
MAYA,F,3,Siberian Husky,Bronx
BEANS,M,6,"Dachshund, Long Haired Miniature",Queens
MYRA,F,13,Poodle,Manhattan
QUINCY,M,8,American Pit Bull Terrier/Pit Bull,Bronx
PUCHY,M,8,Unknown,Manhattan
LUCKY,M,10,Pekingese,Bronx
LEXI,F,3,Shih Tzu,Queens
CODY,F,6,Unknown,Manhattan
ASHKII,M,4,German Shepherd Crossbreed,Brooklyn
ARIEL,F,4,Boxer,Brooklyn
OTIS,M,14,Golden Retriever,Queens
KIRA,F,3,Shih Tzu,Bronx
BELLA,F,4,Pug,Queens
DAX,M,10,Labradoodle,Manhattan
DANTE,M,7,American Pit Bull Terrier/Pit Bull,Bronx
SOZY,F,6,Shiba Inu,Manhattan
SPARKY,M,14,German Shepherd Dog,Staten Island
ROCKO,M,3,American Pit Bull Terrier/Pit Bull,Bronx
BUSU,F,7,Unknown,Brooklyn
ZOSKA,F,4,"Poodle, Standard",Queens
LUCAS,M,11,"Schnauzer, Standard",Queens
MISSY,F,6,Shih Tzu,Brooklyn
ICEMAN,M,3,Siberian Husky,Manhattan
TIARA,F,6,Yorkshire Terrier,Manhattan
PEBBLES,F,3,Rottweiler,Brooklyn
KAYLA,F,10,West High White Terrier,Brooklyn
HUDSON,M,3,Cavalier King Charles Spaniel,Manhattan
BLUE,M,8,Labrador Retriever,Brooklyn
SOOKIE,F,7,Doberman Pinscher,Bronx
PRINCE,M,3,Boston Terrier,Bronx
PEBBLES,F,2,"Shar-Pei, Chinese",Manhattan
SAMSON,M,3,American Pit Bull Mix / Pit Bull Mix,Bronx
NACHO,M,4,Havanese,Queens
PUDGE,M,9,Unknown,Staten Island
TREY,M,3,American Pit Bull Terrier/Pit Bull,Manhattan
SHREK,M,6,Unknown,Brooklyn
LUCY,F,4,"Collie, Border",Manhattan
RUFUS,M,3,"Bull Dog, English",Queens
MIA,F,9,Bichon Frise,Manhattan
MARWIN,M,4,Beagle,Queens
UNA,F,3,Bernese Mountain Dog,Manhattan
HARLAN,M,5,Havanese,Manhattan
BEAR,M,4,Golden Retriever,Manhattan
BARNEY,M,8,"Welsh Corgi, Pembroke",Manhattan
SOX,M,6,"Collie, Border",Brooklyn
BONES,M,3,Labrador Retriever Crossbreed,Queens
GEM,F,13,Miniature Pinscher,Manhattan
KHLOE,F,4,Shih Tzu,Queens
COOPER,M,6,Bassett Hound,Staten Island
CASANOVA,M,6,Maltese,Queens
PANCHO,M,3,Yorkshire Terrier,Manhattan
TJADER,F,10,"Mastiff, Bull",Bronx
IX,M,12,Border Terrier,Manhattan
ZIGGY,F,12,German Shepherd Dog,Queens
BELLA,F,3,American Pit Bull Terrier/Pit Bull,Manhattan
PELE,M,10,Chihuahua,Brooklyn
PEBBLES,F,3,Yorkshire Terrier,Brooklyn
LUCAS,M,3,Labrador Retriever,Manhattan
WINNIE,F,3,Unknown,Staten Island
WILLY,M,3,Labrador Retriever,Brooklyn
ELLA,F,8,Unknown,Brooklyn
GEORGE,M,12,Boston Terrier,Manhattan
PACKY,M,8,Boxer,Bronx
TRICKY,M,11,Pomeranian,Manhattan
BELLA,F,7,Unknown,Brooklyn
EMMA,F,5,Boxer,Manhattan
JUNIPER,F,2,Labrador Retriever Crossbreed,Manhattan
JERSEY,F,3,Beagle,Brooklyn
EMMA,F,12,Jack Russell Terrier,Manhattan
GEORGE,M,10,Boston Terrier,Manhattan
KAIYA,F,3,American Pit Bull Mix / Pit Bull Mix,Staten Island
CHASE,M,3,American Staffordshire Terrier,Manhattan
TUCKER,M,3,Labradoodle,Manhattan
PINKY,F,3,Pomeranian,Manhattan
STELLA,F,4,"Poodle, Standard",Manhattan
GIZMO,F,3,Shih Tzu,Manhattan
OD,M,8,"Bull Dog, French",Brooklyn
BELLA,F,6,Silky Terrier,Bronx
IZZY,F,5,Labrador Retriever,Manhattan
BUBBA,M,12,Pug,Brooklyn
MAX,M,6,Wire Fox Terrier,Manhattan
BELLA,F,3,American Pit Bull Mix / Pit Bull Mix,Brooklyn
JACK,M,4,"Bull Dog, English",Brooklyn
KISSES,F,3,Yorkshire Terrier,Bronx
SAVANNAH,F,11,Cavalier King Charles Spaniel,Manhattan
NAME NOT PROVIDED,M,3,Cocker Spaniel,Brooklyn
MELI,M,17,"Poodle, Standard",Queens
AMBER,F,8,Unknown,Staten Island
PETEY,M,3,"Bull Dog, French",Manhattan
PEANUT,F,6,Cavalier King Charles Spaniel,Staten Island
OSCAR,M,3,Labrador Retriever,Queens
BIBA,M,4,Shih Tzu,Queens
