AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
LADY,F,2,Rottweiler,Bronx
TIGER,M,5,"Bull Dog, English",Manhattan
PIPER,F,2,Pointer,Manhattan
WATSON,M,4,"Dachshund, Wirehaired",Manhattan
JASPER,M,8,Unknown,Manhattan
LOKI,M,4,Unknown,Brooklyn
SHELBY,F,3,Yorkshire Terrier,Bronx
VENOM,M,3,American Pit Bull Mix / Pit Bull Mix,Queens
TYSON,M,2,Rottweiler,Bronx
SWEEPER,M,2,Cocker Spaniel,Manhattan
NENA,F,9,Chihuahua,Bronx
EVEYLYN,F,8,French Bulldog,Manhattan
ARTEMIS,F,6,Akita,Brooklyn
PARKER,M,2,Beagle Crossbreed,Staten Island
TITUS,M,5,Shiba Inu,Queens
TOM,M,3,Wire Fox Terrier,Manhattan
PEPPER-FALCOR,M,3,Shih Tzu,Brooklyn
JANE,F,14,Jack Russell Terrier,Brooklyn
COOPER,M,9,Havanese,Manhattan
JULIUS,M,8,Australian Cattledog,Brooklyn
ATLAS,M,15,Pug,Brooklyn
AMBER,F,2,American Pit Bull Terrier/Pit Bull,Brooklyn
CARLTON,M,11,Unknown,Brooklyn
VINCE,M,7,American Pit Bull Mix / Pit Bull Mix,Brooklyn
MANGO,F,9,Labrador Retriever,Brooklyn
GIZMO,M,14,Shih Tzu,Manhattan
JIMMY,M,18,Bichon Frise,Manhattan
HERCULES,M,14,Maltese,Brooklyn
RASCAL,M,6,"Collie, Border",Staten Island
MOOKIE,M,17,Chihuahua,Bronx
AUDREY,F,6,"Poodle, Miniature",Manhattan
PHOEBE,F,6,Pomeranian,Manhattan
LOLA,F,4,Yorkshire Terrier,Manhattan
CHLOE,F,3,Shih Tzu,Manhattan
MACK,M,7,Labrador Retriever,Manhattan
MARTY,M,10,"Schnauzer, Miniature",Brooklyn
BUDDY,M,12,Shih Tzu,Queens
DILSEY,F,3,Boxer,Manhattan
HAROLD,M,4,Xoloitzcuintli,Manhattan
PEANUT,M,13,"Poodle, Miniature",Staten Island
PONY,M,13,Chihuahua,Brooklyn
PENELOPE,F,5,Dalmatian,Manhattan
IVORY,F,12,"Poodle, Toy",Bronx
CHUNK,M,5,"Bull Dog, French",Manhattan
LOLA,F,10,Cavalier King Charles Spaniel,Staten Island
CASSIUS,M,8,Doberman Pinscher,Manhattan
PENELOPE,F,10,Shih Tzu,Manhattan
WILL,M,17,Labrador Retriever Crossbreed,Manhattan
BOBO,M,2,Shih Tzu,Queens
ELLIE,F,2,Scottish Terrier,Manhattan
FANCY,F,5,Bichon Frise,Brooklyn
HENDRIX,M,2,Golden Retriever,Manhattan
HERCULES,M,4,"Shar-Pei, Chinese",Staten Island
SAPPHIRE,F,8,Jack Russell Terrier,Bronx
KAMI,F,3,Maltese,Manhattan
DOMENIC,M,4,Unknown,Queens
COREY,M,9,Maltese,Queens
PETEY,M,9,"Bull Dog, English",Manhattan
WOOFEE,M,11,Bichon Frise,Brooklyn
WILLOW,F,8,Beagle Crossbreed,Manhattan
PANCHITO,M,7,Chihuahua,Manhattan
BISCUIT,F,9,Bichon Frise,Brooklyn
SALT,F,4,Unknown,Brooklyn
DAZE,F,4,Bichon Frise,Brooklyn
BUDDY,M,6,Beagle,Brooklyn
GIA,F,2,Lagotto Romagnolo,Manhattan
SPEEDY,M,9,Unknown,Brooklyn
HUCK,M,3,French Bulldog,Manhattan
BELLA,F,2,Maltese,Manhattan
BELLA,F,4,American Pit Bull Terrier/Pit Bull,Brooklyn
REX,M,4,Beagle,Queens
JUNO,F,11,Bichon Frise,Brooklyn
CHARLIE,M,6,Cavalier King Charles Spaniel,Staten Island
LORD,M,2,Shih Tzu,Bronx
OZZY,M,13,Silky Terrier,Staten Island
KNIGHT,M,11,Labrador Retriever Crossbreed,Manhattan
KOUKLA,F,10,Beagle,Brooklyn
ALI,M,7,Unknown,Staten Island
MILLIE,F,7,Unknown,Brooklyn
BEAR,M,3,Shiba Inu,Manhattan
HONEY,F,5,Silky Terrier,Queens
HAPPY,F,9,Unknown,Staten Island
SANDY,F,7,American Pit Bull Terrier/Pit Bull,Bronx
BUDDY,M,3,Beagle,Manhattan
GIZMO,M,3,Yorkshire Terrier,Brooklyn
WALLY,M,4,Labradoodle,Manhattan
OREO,F,11,Havanese,Manhattan
BLACK,M,7,Rottweiler,Brooklyn
AGENT,M,2,Shih Tzu,Bronx
MOLLY,F,3,Labrador Retriever Crossbreed,Queens
GUS,M,5,Pug,Queens
NICA,F,8,Maltese,Staten Island
BOOMER,M,3,Golden Retriever,Manhattan
MARISKA,F,3,Cocker Spaniel,Queens
MAX,M,11,Yorkshire Terrier,Manhattan
TWO,M,3,Siberian Husky,Queens
LUCILLE,F,7,"Dachshund, Long Haired",Manhattan
POWDER,F,13,Maltese,Brooklyn
UNO,M,3,Boxer,Bronx
CHARLOTTE,F,6,Unknown,Manhattan
LOGAN,M,7,Unknown,Staten Island
LUCAS,M,2,Golden Retriever,Manhattan
CAMY,F,2,English Springer Spaniel,Manhattan
ESPRESSO,M,2,Chihuahua,Manhattan
RUMI,M,5,Unknown,Manhattan
BAMBA,M,5,French Bulldog,Brooklyn
BANDIT,M,7,Jack Russell Terrier,Manhattan
MATE,M,6,Labradoodle,Brooklyn
GHOST,M,3,"Schnauzer, Miniature",Queens
LILY,F,13,Unknown,Brooklyn
ALFIE,M,8,Unknown,Manhattan
SCOUT,F,4,Labrador Retriever,Manhattan
NELLIE,F,15,Labrador Retriever,Manhattan
DON,M,7,"Bull Dog, English",Brooklyn
MIA,F,8,American Pit Bull Terrier/Pit Bull,Queens
KANCHO,M,4,Australian Shepherd,Brooklyn
MESSY,F,7,Shetland Sheepdog,Brooklyn
PRINCE,M,10,"Poodle, Toy",Brooklyn
TED,M,5,American Pit Bull Mix / Pit Bull Mix,Brooklyn
TASHA,F,8,Bichon Frise,Brooklyn
BELLA,F,4,Shih Tzu,Manhattan
APOLLO,M,3,Labrador Retriever,Manhattan
MOXIE,F,2,French Bulldog,Manhattan
SANDRA,F,16,Shiba Inu,Manhattan
SANDY,F,9,Shih Tzu,Bronx
BRODY,M,5,West High White Terrier,Manhattan
JINGLE,F,4,Cocker Spaniel,Brooklyn
BAILEY,M,8,Cavalier King Charles Spaniel,Staten Island
ARISTA,F,2,Bassett Hound,Bronx
BESSIE,F,4,Unknown,Bronx
BESS,F,8,"Welsh Corgi, Pembroke",Manhattan
PAPI,M,4,American Staffordshire Terrier,Queens
PIXEL,F,8,Dachshund Smooth Coat Miniature,Queens
YOGI,F,5,Golden Retriever,Manhattan
CHOCOLATE,F,9,American Pit Bull Terrier/Pit Bull,Brooklyn
MASON,M,2,American Pit Bull Terrier/Pit Bull,Manhattan
BEAR,M,14,Golden Retriever,Manhattan
BAM,M,9,Yorkshire Terrier,Manhattan
ABBY,F,17,Chihuahua,Brooklyn
ANGEL,F,13,Unknown,Bronx
ZIGGY,M,9,Chihuahua,Bronx
JACKSON,M,5,Unknown,Manhattan
SHAYMUS,M,3,Silky Terrier,Manhattan
CLEA,F,8,American Eskimo dog,Manhattan
SNOOPY,M,8,Yorkshire Terrier,Queens
MAGNUM,M,8,Labrador Retriever,Bronx
DEMO,M,7,Havanese,Queens
DELMAR,M,4,Labrador Retriever Crossbreed,Brooklyn
SCOUT,F,3,Yorkshire Terrier,Brooklyn
REGINA,F,2,American Pit Bull Mix / Pit Bull Mix,Brooklyn
MICKEY,M,4,Unknown,Manhattan
AUGGIE,F,5,Wheaton Terrier,Queens
OLIVIA,F,9,"Bull Dog, English",Manhattan
TRIGGA,M,2,Yorkshire Terrier,Manhattan
LOCHTE,M,5,Unknown,Manhattan
GOUMBA,M,4,Unknown,Queens
JUNIOR,M,5,Maltese,Manhattan
MOLLY,F,7,Beagle,Queens
TINA,F,8,Dachshund Smooth Coat,Queens
JACK,M,3,Rottweiler,Brooklyn
JACK,M,10,Siberian Husky,Brooklyn
COSMO,M,4,Shih Tzu,Brooklyn
BUDDHA,M,3,Shiba Inu,Brooklyn
JUANITO,M,11,Yorkshire Terrier,Bronx
NELSON,M,16,American Eskimo dog,Manhattan
NIA,F,8,Labrador Retriever Crossbreed,Queens
BLANCA,F,13,Jack Russell Terrier,Manhattan
PANDA,M,4,Maltese,Bronx
PRECIOUS,F,11,Shih Tzu,Brooklyn
WILLY,M,8,Pekingese,Brooklyn
BUTTERS,M,3,Unknown,Manhattan
HARLEN,M,9,Unknown,Manhattan
BARKLEY,M,6,Cavalier King Charles Spaniel,Manhattan
BAILEY,M,3,Cocker Spaniel,Queens
ROXY,F,6,Unknown,Bronx
ROCKY,M,9,Cane Corso,Brooklyn
EMMA,F,3,Vizsla,Queens
ANDY,M,7,Miniature Pinscher,Manhattan
BENELLI,M,2,Pointer,Staten Island
WEEZY,M,10,American Pit Bull Mix / Pit Bull Mix,Manhattan
IZZY,F,2,Norfolk Terrier,Manhattan
TUCKER,M,2,Cavalier King Charles Spaniel,Manhattan
DONOVAN,M,8,"Schnauzer, Miniature",Manhattan
SCOUT,M,11,Labrador Retriever,Manhattan
HENNA,F,3,Staffordshire Bull Terrier,Bronx
BELLA,F,5,American Pit Bull Mix / Pit Bull Mix,Queens
GRAYSON,M,4,Chihuahua,Brooklyn
BAILEY,M,7,Shih Tzu,Manhattan
RILEY,F,3,Basenji,Brooklyn
ROXIE,F,3,Havanese,Manhattan
ABBEY,F,3,Weimaraner,Queens
BO,M,5,Maltese,Queens
LAWRENCE,M,6,American Pit Bull Terrier/Pit Bull,Manhattan
LOLA,F,2,Labrador Retriever,Manhattan
SHARON,F,8,Shih Tzu,Brooklyn
CHASE,M,2,"Schnauzer, Standard",Queens
LILY,F,15,"Poodle, Standard",Queens
SIRIUS,M,12,Labrador Retriever Crossbreed,Brooklyn
STARKWEATHER,M,3,Border Terrier,Brooklyn
FOXY,F,10,Pomeranian,Brooklyn
NORI,F,2,Pug,Brooklyn
HAZELNUT,F,6,Dachshund Smooth Coat,Manhattan
MOZART,M,13,Labrador Retriever,Manhattan
PRINCESS,F,8,Yorkshire Terrier,Queens
OREO,F,17,Unknown,Queens
PORGY,M,8,"Welsh Corgi, Pembroke",Manhattan
CHARLIE,M,4,Miniature Schnauzer,Manhattan
CHYLA,F,4,American Pit Bull Mix / Pit Bull Mix,Queens
TUCKER,M,10,Jack Russell Terrier,Manhattan
HARLEY,F,2,Pomeranian,Manhattan
DINO,M,13,Unknown,Brooklyn
MAXIMUS,M,3,Unknown,Queens
LULU,F,6,"Poodle, Miniature",Brooklyn
CHLOE,F,5,Pomeranian,Manhattan
SHADOW,M,7,Labrador Retriever Crossbreed,Queens
JACK,M,5,Havanese,Manhattan
WALLACE,M,7,Wheaton Terrier,Manhattan
LEVI,M,2,German Shepherd Crossbreed,Brooklyn
OREO,M,10,Unknown,Brooklyn
BELLE,F,3,Jack Russell Terrier,Brooklyn
MOLLY,F,5,Unknown,Manhattan
MIUMIU,F,4,"Poodle, Toy",Queens
RUBY,F,4,Boston Terrier,Queens
BUDDY,M,7,Pomeranian,Brooklyn
SKEETER,M,11,Jack Russell Terrier,Brooklyn
LOLA,F,3,Cavalier King Charles Spaniel,Brooklyn
LOLA,F,9,Labrador Retriever Crossbreed,Brooklyn
BLUE,M,7,Siberian Husky,Queens
BINGO,F,11,Miniature Pinscher,Manhattan
MR.,M,3,Chihuahua,Bronx
LUCY,F,4,Havanese,Manhattan
COCO,F,8,German Shepherd Dog,Brooklyn
LILLY,F,4,Yorkshire Terrier,Staten Island
CHRISTMAS,F,8,Miniature Schnauzer,Manhattan
CHASE,M,5,Unknown,Queens
WILLY,M,6,Labrador Retriever Crossbreed,Brooklyn
WILSON,M,3,Labrador Retriever,Bronx
PRINCE,M,3,Maltese,Queens
ZALEA,F,2,Basset Hound,Brooklyn
BIANCA,F,10,Shih Tzu,Manhattan
HENDRIX,M,6,Labradoodle,Bronx
SHABBAT,F,7,Labrador Retriever Crossbreed,Manhattan
MASSIMO,M,3,Cane Corso,Manhattan
ROSIE,F,3,Beagle Crossbreed,Manhattan
BELLA,F,6,American Pit Bull Mix / Pit Bull Mix,Queens
GYPTIAN,M,10,Yorkshire Terrier,Brooklyn
SCOUT,M,8,Unknown,Brooklyn
BUDDY,M,12,Vizsla,Staten Island
BRUNO,F,5,Unknown,Manhattan
CHOPPY,M,2,Pomeranian,Manhattan
CHASE-CASTLE,M,7,American Pit Bull Terrier/Pit Bull,Brooklyn
CHARLIE,M,5,Yorkshire Terrier,Staten Island
CASSIDY,F,3,Wheaton Terrier,Manhattan
PORK,F,5,"Bull Dog, English",Manhattan
LUCY,F,5,Unknown,Staten Island
LYLA,F,5,Rhodesian Ridgeback,Queens
BLACKY,M,8,Unknown,Bronx
BENJI,M,9,Unknown,Queens
EMILY,F,12,Unknown,Brooklyn
ROMEO,M,15,Pug,Queens
ROXIE,F,3,Yorkshire Terrier,Brooklyn
GRIBETZ,M,7,Shih Tzu,Brooklyn
SCOOBIE,M,11,Jack Russell Terrier,Brooklyn
DJ,M,4,Vizsla,Manhattan
GIZMO,M,7,"Bull Dog, French",Brooklyn
COOPER,M,6,Australian Shepherd,Manhattan
SOFIA,F,7,Chihuahua,Manhattan
LINUS,M,4,"Schnauzer, Miniature",Brooklyn
WELTY,F,7,Golden Retriever,Manhattan
TAWNY,M,11,Unknown,Manhattan
BLU,M,9,American Pit Bull Terrier/Pit Bull,Staten Island
ELLIE,F,9,"Jindo Dog, Korea",Queens
FIGGY,F,4,Labrador Retriever Crossbreed,Queens
MILLIE,F,3,Great Dane,Manhattan
ROLLY,M,12,Boxer,Manhattan
MAGGIE,F,6,Staffordshire Bull Terrier,Manhattan
LILY,F,3,Cavalier King Charles Spaniel,Manhattan
BELLE,F,4,Beagle,Manhattan
BETSY,F,7,"Schnauzer, Miniature",Manhattan
FIONA,F,2,Havanese,Manhattan
RODNEY,M,6,Bernese Mountain Dog,Staten Island
MUNCHIE,F,9,Shih Tzu,Bronx
HANNA,F,5,Unknown,Manhattan
KATO,M,5,Unknown,Bronx
BONNIE,F,7,Maltese,Queens
GEA,F,12,Siberian Husky,Manhattan
SHAFT,M,6,Rottweiler,Manhattan
PRINCE,M,15,Maltese,Manhattan
DUNCAN,M,14,Labrador Retriever,Manhattan
MAXINE,F,7,Unknown,Manhattan
GABBY,F,4,Miniature Pinscher,Manhattan
RILEY,F,5,Labrador Retriever Crossbreed,Brooklyn
RANGER,M,2,German Shepherd Dog,Queens
ELVIS,M,16,Irish Wolfhound,Brooklyn
TARO,M,3,Yorkshire Terrier,Queens
HOPE,F,2,"Bull Dog, English",Queens
SIMBA,M,6,Yorkshire Terrier,Brooklyn
GIZMO,M,2,Chihuahua,Manhattan
JOHN,M,5,Labrador Retriever,Queens
KAYLA,F,7,"Bull Dog, English",BROOKLYN
MUNECO,M,13,"Poodle, Toy",Queens
OPIE,M,2,Labrador Retriever,Manhattan
LALA,F,7,Boxer,Brooklyn
TRIXIE,F,4,Papillon,Queens
BROWNIE,M,4,"Poodle, Miniature",Manhattan
BRYNJOLFUR,M,2,Rottweiler,Brooklyn
REX,M,5,American Pit Bull Mix / Pit Bull Mix,Queens
MOCHA,M,13,Chihuahua,Manhattan
ETTA,F,6,"Poodle, Standard",Manhattan
LENNON,M,5,Rhodesian Ridgeback,Staten Island
LEELOO,F,2,French Bulldog,Manhattan
PAOLO,M,8,Shiba Inu,Queens
WOLFGANG,M,5,Labrador Retriever Crossbreed,Brooklyn
GIZMO,M,3,Yorkshire Terrier,Bronx
GUS,M,5,Brittany Spaniel,Manhattan
RIGATONI,M,3,"Poodle, Toy",Manhattan
ARGOS,M,2,"Poodle, Standard",Queens
TEDDY,M,8,Shih Tzu,Staten Island
LILY,F,6,"Poodle, Standard",Manhattan
SISSY,F,11,Chihuahua,Queens
DAISY,F,13,"Poodle, Standard",Brooklyn
RASCAL,M,12,Silky Terrier,Manhattan
KOBE,M,3,American Pit Bull Mix / Pit Bull Mix,Brooklyn
KINLEY,F,4,German Shepherd Dog,Queens
LAYLA,F,5,Basset Hound,Brooklyn
TORI,F,3,Shih Tzu,Brooklyn
TORRI,F,3,Chihuahua,Manhattan
SHASHI,F,7,Jack Russell Terrier,Manhattan
ZACHARY,M,2,French Bulldog,Manhattan
WENDELL,M,5,Wire Fox Terrier,Manhattan
JOLT,M,13,Yorkshire Terrier,Manhattan
HEIDI,F,6,Pomeranian,Manhattan
ROCKO,M,3,Chihuahua,Manhattan
TOBY,M,3,Basenji,Manhattan
TERNER,M,7,Belgian Malinois,Queens
NIBBLER,M,6,"Schnauzer, Standard",Manhattan
MURRAY,M,14,Unknown,Brooklyn
MURPHY,M,6,Puggle,Bronx
BARBOUR,M,3,Staffordshire Bull Terrier,Brooklyn
MOJEAU,M,7,Brussels Griffon,Manhattan
BELLA,F,6,Unknown,Brooklyn
JULY,F,5,"Welsh Corgi, Cardigan",Brooklyn
SCOTTO,M,3,Chihuahua,Manhattan
MIDDLES,F,3,"Bull Dog, French",Brooklyn
AUGIE,M,8,Pug,Brooklyn
OREO,M,6,American Staffordshire Terrier,Staten Island
CUDDLES,M,13,Maltese,Brooklyn
CLEO,F,3,"Collie, Border",Staten Island
JACK,M,3,Havanese,Brooklyn
HULK,M,2,Maltese,Queens
LEON,M,6,Golden Retriever,Queens
BENNY,M,13,Maltese,Queens
MISHU,M,12,Maltese,Manhattan
CODY,M,2,Labrador Retriever,Brooklyn
CHOCO,M,3,Maltese,Queens
LOULOU,F,6,"Bull Dog, French",Manhattan
LOUIE,M,4,"Bull Dog, French",Manhattan
IZZY,F,2,Cavalier King Charles Spaniel,Manhattan
ZACHARIAH,M,12,Golden Retriever,Manhattan
BIGI,M,7,Bichon Frise,Queens
ADDY,F,6,Dachshund,Queens
SCRUFFY,F,18,Unknown,Staten Island
DOUG,M,5,Jack Russell Terrier,Manhattan
JOHN,M,8,American Pit Bull Mix / Pit Bull Mix,Bronx
BRIAN,M,4,"Mastiff, Bull",Manhattan
COOKIE,F,5,Maltese,Staten Island
CASEY,F,2,Maltese,Staten Island
TINY,M,15,Japanese Chin/Spaniel,Manhattan
LAYLA,F,10,Shih Tzu,Manhattan
KOZMO,M,17,Chow Chow,Manhattan
BELLA,F,7,Italian Greyhound,Manhattan
STELLADORO,F,2,Labrador Retriever,Staten Island
CODY,M,4,Pug,Manhattan
JAX,M,3,Havanese,Queens
TEQUILA,F,9,Beagle Crossbreed,Manhattan
TOBY,M,4,Havanese,Manhattan
LEXIE,F,6,Shiba Inu,Manhattan
ARCHIE,F,5,Labrador Retriever,Manhattan
AXLE,M,15,Unknown,Staten Island
HANK,M,15,Labrador Retriever,Staten Island
NINA,F,6,"Bull Dog, English",Queens
MILO,M,8,Pekingese,Brooklyn
HENLEY,M,3,Maltese,Manhattan
SAMMY,M,11,West High White Terrier,Queens
MAYA,F,6,Beagle,Queens
COLBY,M,8,Labrador Retriever,Brooklyn
LUCY,F,8,"Poodle, Miniature",Staten Island
PETITO,M,4,Unknown,Bronx
PABLO,M,2,Pug,Manhattan
LELAND,M,11,Maltese,Manhattan
MILK,F,3,Maltese,Queens
BAILEY,M,8,Unknown,Manhattan
BATI,M,4,German Shepherd Dog,Queens
HENRY,M,5,German Shepherd Dog,Manhattan
JERSEY,F,3,Yorkshire Terrier,Bronx
SOPHIE,F,7,Beagle Crossbreed,Manhattan
MIA,F,3,Jack Russell Terrier,Manhattan
FRANK,M,7,Boxer,Queens
MISS,F,7,"Mastiff, Bull",Queens
DEXTER,M,3,Labrador Retriever Crossbreed,Manhattan
KHLOE,F,3,American Pit Bull Mix / Pit Bull Mix,Staten Island
MELLOW,M,2,Shiba Inu,Brooklyn
GINGER,M,9,Pomeranian,Manhattan
CLEVELAND,F,4,American Pit Bull Terrier/Pit Bull,Brooklyn
LOLA,F,13,Cocker Spaniel,Queens
PHOEBE,F,9,Unknown,Manhattan
PEPPER,F,13,German Shepherd Crossbreed,Brooklyn
ARTHUR,M,9,Beagle,Brooklyn
AJAXX,M,2,Miniature Pinscher,Brooklyn
AJA,F,6,Unknown,Bronx
TRUMAN,M,7,Beagle Crossbreed,Manhattan
DAISY,F,9,Chihuahua,Queens
LOGAN,M,17,Labrador Retriever Crossbreed,Queens
ISABELLE,F,4,American Pit Bull Terrier/Pit Bull,Queens
TIGER,F,5,Unknown,Manhattan
BELLA,F,4,Pug,Manhattan
MINGUS,M,6,Rhodesian Ridgeback,Brooklyn
MISSY,F,7,Papillon,Staten Island
GRACIE,F,9,Belgian Malinois,Queens
SPEEDY,M,5,Beagle,Manhattan
BENJI,M,7,Unknown,Staten Island
KOKO,F,17,Unknown,Queens
OLIVER,M,4,"Poodle, Miniature",Manhattan
PEANUT,M,2,"Poodle, Toy",Staten Island
WILLIE,M,10,Puggle,Brooklyn
VINNIE,M,9,Chihuahua,BROOKLYN
PICKLE,F,2,Chihuahua,Manhattan
LIZZIE,F,13,Labrador Retriever,Manhattan
LOLA,F,9,Pomeranian,Staten Island
LILY,F,13,"Bull Dog, English",Queens
LINUS,M,9,Labrador Retriever,Manhattan
COOPER,M,11,American Pit Bull Terrier/Pit Bull,Manhattan
COCO,M,11,Maltese,Queens
COCO,M,7,Pomeranian,Brooklyn
TRIXIE,F,13,Chihuahua,Manhattan
GRACIE,F,13,Unknown,Queens
STEWIE,M,11,Dachshund Smooth Coat Miniature,Staten Island
HERMIE,M,14,Bichon Frise,Manhattan
FELIX,M,15,Shiba Inu,Brooklyn
EASTON,M,5,Great Dane,Queens
BENJI,M,3,Unknown,Bronx
GIGI,F,12,American Pit Bull Mix / Pit Bull Mix,Manhattan
BRANDI,F,14,Cocker Spaniel,Staten Island
BOOMER,M,14,Unknown,Staten Island
BUBBLES,F,10,Unknown,Brooklyn
FRANK,M,11,Bichon Frise,Manhattan
TAINA,F,3,American Pit Bull Terrier/Pit Bull,Bronx
NEJI,M,2,Shih Tzu,Bronx
DJETTA,M,18,Golden Retriever,Bronx
NITRO,M,5,"Welsh Corgi, Pembroke",Brooklyn
SAMSON,M,11,Labrador Retriever Crossbreed,Manhattan
SANDY,F,12,Labrador Retriever,Staten Island
SCOUT,M,15,West High White Terrier,QUEENS
BEAU,F,13,"Collie, Border",Brooklyn
Q,M,8,Chihuahua,Brooklyn
RILEY,F,12,Labrador Retriever Crossbreed,Queens
ROSCOE,M,15,Cocker Spaniel,Manhattan
RUFUS,M,3,"Bull Dog, French",Brooklyn
ALLY,F,16,Unknown,Bronx
BELLA,F,10,Unknown,Staten Island
BELLA,F,9,Chow Chow,Queens
BENNIE,M,6,Dachshund Smooth Coat,Bronx
BIANCA,F,16,Chihuahua,Bronx
KYLA,F,4,American Pit Bull Terrier/Pit Bull,Brooklyn
TOWNSI,M,11,Unknown,Brooklyn
TINKER,F,15,Pekingese,Manhattan
WHIR,F,12,Greyhound,Staten Island
CHARLES,M,9,"Bull Dog, English",QUEENS
PHOEBE,F,11,Unknown,Bronx
SNICKERS,M,16,Chihuahua,Brooklyn
SNOWFLAKE,F,17,Pomeranian,Brooklyn
LUCKY,F,13,Cocker Spaniel,Queens
LUA,F,9,Unknown,Queens
MASON,M,2,Shih Tzu,Bronx
BUDDHA,M,9,"Bull Dog, French",Brooklyn
DEXTER,M,4,American Pit Bull Terrier/Pit Bull,Manhattan
SAMANTHA,F,10,Puggle,Brooklyn
MOOSE,M,15,Labrador Retriever,Staten Island
HENRY,M,13,German Shepherd Crossbreed,Manhattan
HENRY,M,4,German Shepherd Crossbreed,Brooklyn
RAISIN,F,17,Bichon Frise,Manhattan
MISTY,F,12,Greyhound,Staten Island
ROCKY,M,12,Chihuahua,Brooklyn
MIMZY,F,9,Maltese,Staten Island
ARCHIE,M,4,Shih Tzu,Queens
KUMAKO,F,11,Unknown,Brooklyn
TOTO,M,17,Silky Terrier,Staten Island
TIFFANY,F,18,Shih Tzu,Queens
PARKER,F,8,Unknown,Queens
PIPER,F,9,Boston Terrier,Manhattan
CHARLIE,M,11,Pug,Brooklyn
CHARLIE,M,10,Beagle,Brooklyn
JACK,M,10,Unknown,Queens
PEPPER,F,14,Labrador Retriever Crossbreed,Manhattan
SNOOPY,M,12,Lhasa Apso,Queens
LOLA,F,12,Pug,Staten Island
LOKI,F,2,German Shepherd Crossbreed,Brooklyn
SHALA,F,13,Greyhound,Staten Island
COCO,F,11,Pug,Staten Island
MAX,M,13,German Shepherd Dog,Bronx
SPARKY,M,10,Yorkshire Terrier,Bronx
SYLAR,M,4,Siberian Husky,Queens
NINO,M,9,Yorkshire Terrier,Queens
PUFFY,M,17,Bichon Frise,Queens
RAVEN,F,11,Labrador Retriever Crossbreed,Bronx
ROSA,F,4,Chihuahua,Manhattan
FINLEY,M,3,"Poodle, Standard",Brooklyn
BESSIE,F,18,Unknown,Manhattan
LEIA,F,5,Poodle,Manhattan
PEBBLES,F,17,Maltese,Manhattan
YOSHI,M,12,"Schnauzer, Miniature",Brooklyn
YUKI,F,5,Bichon Frise,Queens
CHARLIE,M,13,Unknown,Queens
PEPPER,F,2,Maltese,Brooklyn
SINAMIN,F,9,Unknown,Bronx
SOCRATES,M,9,Silky Terrier,Staten Island
CHLOE,F,7,Pug,Queens
CHARLIE,M,13,Cocker Spaniel,Brooklyn
TURNER,F,9,Yorkshire Terrier,Queens
MAX,M,16,Unknown,Manhattan
GIZMO,M,4,Unknown,Queens
DIESEL,M,14,"Shar-Pei, Chinese",Brooklyn
SCOTTIE,M,3,Scottish Terrier,Brooklyn
MS.,F,12,"Poodle, Miniature",Manhattan
BEAR,M,2,Golden Retriever,Manhattan
MOMMA,F,6,American Pit Bull Terrier/Pit Bull,Bronx
ROXY,F,14,Unknown,Staten Island
ANGEL,F,16,American Eskimo dog,Staten Island
TIPPI,F,13,Unknown,Queens
THURMAN,M,13,Beagle,Staten Island
WINSTON,M,2,Golden Retriever,Queens
WENDY,F,5,German Wirehaired Pointer,Manhattan
VIOLET,F,12,"Welsh Corgi, Cardigan",Manhattan
PRAJNA,M,7,Labradoodle,Manhattan
CASEY,F,8,Bull Terrier,Queens
HUXLEY,M,12,"Bull Dog, English",Queens
ISABELLA,F,13,German Shepherd Crossbreed,Manhattan
JAKE,M,7,Dachshund Smooth Coat Miniature,Brooklyn
LUCKY,F,13,Labradoodle,Manhattan
GINNY,F,12,Unknown,Manhattan
GIULIANA,F,15,Labrador Retriever,Manhattan
BUDDY,M,9,Labrador Retriever,Bronx
MAXIMUM,M,6,Boxer,Bronx
JIMMY,M,5,Labrador Retriever,Brooklyn
DR,M,6,Chihuahua,Manhattan
HONEY,F,13,Unknown,Queens
HARLEY,M,6,Unknown,Manhattan
RILEY,M,6,Shih Tzu,Manhattan
FINN,M,7,Unknown,Brooklyn
DUKE,M,14,Unknown,Staten Island
WEBSTER,M,12,West Highland White Terrier,Queens
WEEZY,F,13,Jack Russell Terrier,Manhattan
WILLOW,F,4,Beagle,Manhattan
CHANCE,M,10,Unknown,Queens
PHOEBE,F,2,French Bulldog,Manhattan
LOLA,F,11,Unknown,Queens
LOKI,M,8,"Schnauzer, Miniature",Staten Island
CHELSEA,F,7,Unknown,Manhattan
CHULA,F,3,Beagle,Brooklyn
LUCY,F,2,Beagle Crossbreed,Manhattan
MAX,M,18,Maltese,Manhattan
GIA,F,13,Shih Tzu,Staten Island
BONBON,M,2,Yorkshire Terrier,Manhattan
STELLA,F,11,Unknown,Manhattan
SYDNEY,F,15,German Shepherd Dog,Brooklyn
NATHAN,M,14,Dachshund Smooth Coat,BROOKLYN
DEXTER,M,3,Shih Tzu,Queens
JIGGA,F,12,Unknown,Brooklyn
SAM,M,18,Cairn Terrier,Brooklyn
SANDIE,F,12,Unknown,Bronx
MURPHY,F,11,Labrador Retriever,BROOKLYN
BAILEY,F,11,Unknown,QUEENS
BAILEY,F,15,Weimaraner,MANHATTAN
